Log, Time, T0, T1, T2
812,815168,33.01,24.22,28.61
813,816168,23.73,33.01,37.40
814,817168,23.73,24.71,37.89
815,818168,33.01,33.50,28.61
816,819168,24.22,33.50,28.61
817,820168,33.01,24.22,35.94
818,821168,33.01,24.22,28.61
819,822168,24.22,32.03,36.91
820,823168,24.22,24.71,36.91
821,824168,29.10,33.01,28.12
822,825168,32.52,24.22,36.91
823,826168,33.01,24.22,28.12
824,827168,23.73,33.01,36.91
825,828168,23.73,24.22,37.89
826,829168,33.01,24.22,36.91
827,830168,23.73,33.50,28.12
828,831168,32.52,24.22,36.91
829,832168,23.73,33.01,28.12
830,833168,23.73,33.01,36.91
831,834168,33.01,33.98,28.12
832,835168,32.52,33.50,28.61
833,836168,33.01,24.71,36.91
834,837168,32.52,24.22,36.91
835,838168,23.73,33.01,37.40
836,839168,23.73,33.50,37.40
837,840168,33.01,33.50,28.12
838,841168,23.73,24.22,36.91
839,842168,33.01,24.22,36.91
840,843168,23.24,33.01,27.64
841,844168,23.24,32.52,35.94
842,845168,32.52,24.22,28.12
843,846168,32.52,24.22,37.40
844,847168,23.73,24.22,37.89
845,848168,23.24,33.50,28.61
846,849168,23.73,33.01,28.61
847,850168,33.01,24.22,28.61
848,851168,33.01,24.22,28.61
849,852168,23.73,24.22,37.89
850,853168,23.73,24.22,37.89
851,854168,23.73,33.50,28.61
852,855168,23.73,33.01,28.61
853,856168,32.52,24.22,28.61
854,857168,23.73,33.01,36.91
855,858168,23.73,24.22,37.89
856,859168,33.01,33.50,28.61
857,860168,23.73,33.50,28.61
858,861168,33.01,24.22,37.40
859,862168,32.52,24.22,28.61
860,863168,23.73,33.50,28.12
861,864168,33.01,33.01,28.61
862,865168,32.52,33.50,28.12
863,866168,32.52,24.22,36.91
864,867168,32.52,24.22,35.94
865,868168,23.73,33.50,37.89
866,869168,23.73,40.33,37.40
867,870168,33.01,33.01,28.12
868,871168,37.40,33.50,28.12
869,872168,32.03,23.73,35.94
870,873168,23.73,33.01,27.64
871,874168,23.73,33.01,36.43
872,875168,33.01,15.43,28.12
873,876168,32.52,33.01,28.12
874,877168,15.43,24.22,36.91
875,878168,33.01,24.22,36.91
876,879168,23.73,33.50,19.34
877,880168,32.52,24.22,37.89
878,881168,32.52,33.50,27.64
879,882168,23.73,24.22,36.43
880,883168,33.01,24.22,36.91
881,884168,23.73,33.01,27.64
882,885168,23.73,33.01,36.43
883,886168,33.01,24.22,27.64
884,887168,32.52,33.50,27.64
885,888168,23.73,24.22,36.91
886,889168,21.78,33.50,27.64
887,890168,23.73,33.50,27.64
888,891168,32.52,24.22,26.66
889,892168,33.01,24.22,27.64
890,893168,23.73,24.22,36.91
891,894168,23.73,24.22,36.43
892,895168,23.24,33.50,27.64
893,896168,33.01,24.22,36.91
894,897168,33.01,24.22,27.64
895,898168,23.73,33.50,36.91
896,899168,23.73,24.22,36.91
897,900168,32.52,33.01,27.64
898,901168,23.73,33.50,27.64
899,902168,32.52,22.75,35.94
900,903168,32.52,23.24,26.66
901,904168,23.24,33.01,36.43
902,905168,33.01,33.50,27.64
903,906168,33.01,33.50,27.64
904,907168,33.01,23.73,36.43
905,908168,32.52,23.73,36.43
906,909168,23.73,33.01,35.94
907,910168,23.73,33.01,35.94
908,911168,32.52,33.01,27.15
909,912168,23.73,24.22,35.94
910,913168,33.01,23.73,36.43
911,914168,23.73,33.01,27.15
912,915168,23.24,33.01,35.94
913,916168,33.01,23.73,27.15
914,917168,33.01,33.50,27.15
915,918168,23.24,23.73,35.94
916,919168,33.01,23.73,36.43
917,920168,23.73,33.01,27.15
918,921168,33.01,23.73,27.15
919,922168,33.01,33.50,27.15
920,923168,23.73,23.73,36.43
921,924168,33.50,23.73,36.43
922,925168,23.73,33.50,27.15
923,926168,23.73,33.01,36.43
924,927168,33.01,23.73,27.15
925,928168,23.73,23.24,36.43
926,929168,23.73,23.73,36.43
927,930168,23.24,33.01,27.15
928,931168,23.73,33.50,27.15
929,932168,33.01,23.24,25.68
930,933168,32.52,23.73,26.66
931,934168,23.73,23.24,35.94
932,935168,23.73,23.73,36.91
933,936168,21.78,33.01,27.15
934,937168,33.01,23.73,36.43
935,938168,33.50,23.73,27.15
936,939168,23.73,33.50,36.91
937,940168,23.73,22.75,36.91
938,941168,33.50,33.50,27.64
939,942168,23.73,33.50,27.64
940,943168,33.50,23.73,36.91
941,944168,23.73,33.50,36.91
942,945168,24.22,33.01,36.91
943,946168,33.50,33.01,27.64
944,947168,33.50,33.01,27.64
945,948168,33.98,23.73,37.40
946,949168,33.50,23.73,36.91
947,950168,23.73,33.01,36.43
948,951168,23.73,33.50,37.40
949,952168,33.50,33.50,27.64
950,953168,23.73,23.73,37.40
951,954168,33.50,23.73,36.43
952,955168,24.22,33.50,27.64
953,956168,24.22,33.50,37.40
954,957168,33.98,23.73,27.64
955,958168,33.50,33.50,27.64
956,959168,24.22,23.73,36.91
957,960168,24.22,33.98,27.64
958,961168,24.22,33.50,27.64
959,962168,33.50,23.73,27.15
960,963168,33.50,22.75,27.64
961,964168,23.73,23.73,37.40
962,965168,23.24,23.73,37.40
963,966168,24.22,33.01,27.64
964,967168,24.22,33.50,26.66
965,968168,33.98,23.73,27.64
966,969168,24.22,23.73,37.89
967,970168,24.22,23.73,37.40
968,971168,23.73,33.98,27.64
969,972168,24.22,33.50,27.64
970,973168,33.98,23.73,27.64
971,974168,33.98,23.73,27.64
972,975168,24.22,23.73,37.40
973,976168,33.98,33.98,27.64
974,977168,23.73,33.50,27.64
975,978168,33.98,24.22,36.91
976,979168,33.98,23.73,26.66
977,980168,24.22,33.50,37.40
978,981168,24.22,24.22,37.89
979,982168,34.47,33.98,27.64
980,983168,24.22,23.73,36.91
981,984168,34.47,23.73,36.91
982,985168,24.71,33.50,37.89
983,986168,24.71,33.50,36.91
984,987168,34.47,33.50,27.64
985,988168,34.47,33.98,27.64
986,989168,34.47,24.22,37.40
987,990168,34.47,24.22,37.40
988,991168,24.22,33.98,37.40
989,992168,33.98,23.73,27.64
990,993168,33.98,33.50,27.64
991,994168,24.22,23.73,36.91
992,995168,34.47,23.73,37.40
993,996168,24.71,33.50,27.64
994,997168,24.71,33.50,37.40
995,998168,33.98,24.22,28.12
996,999168,34.47,33.98,28.12
997,1000168,33.98,33.50,27.64
998,1001168,24.71,33.98,27.64
999,1002168,24.71,33.50,28.12
1000,1003168,34.47,23.73,28.12
1001,1004168,34.47,23.73,28.12
1002,1005168,24.71,24.22,36.91
1003,1006168,24.71,24.22,37.89
1004,1007168,24.71,33.98,28.12
1005,1008168,34.47,24.22,37.40
1006,1009168,34.47,24.22,28.12
1007,1010168,24.71,33.50,37.40
1008,1011168,24.71,23.73,37.89
1009,1012168,34.47,33.98,28.12
1010,1013168,24.71,33.50,28.12
1011,1014168,34.47,23.73,36.43
1012,1015168,34.47,24.22,28.12
1013,1016168,34.47,24.22,28.12
1014,1017168,34.47,33.98,28.12
1015,1018168,34.47,33.98,28.12
1016,1019168,34.47,24.22,37.40
1017,1020168,34.47,24.22,36.91
1018,1021168,24.71,33.98,37.89
1019,1022168,24.71,33.50,37.40
1020,1023168,34.96,33.50,27.64
1021,1024168,24.71,23.73,37.40
1022,1025168,34.47,23.73,37.40
1023,1026168,24.71,33.98,28.12
1024,1027168,24.71,33.98,37.40
1025,1028168,34.47,23.24,28.12
1026,1029168,34.47,33.98,28.12
1027,1030168,24.71,24.22,37.40
1028,1031168,34.96,24.22,37.40
1029,1032168,34.47,24.22,37.40
1030,1033168,34.96,24.22,28.12
1031,1034168,34.96,34.47,28.12
1032,1035168,24.71,24.22,37.40
1033,1036168,34.96,24.22,37.89
1034,1037168,25.20,33.98,28.12
1035,1038168,24.71,33.98,37.89
1036,1039168,34.47,24.22,28.12
1037,1040168,24.71,23.73,37.40
1038,1041168,25.20,24.22,37.40
1039,1042168,24.71,33.98,28.12
1040,1043168,25.20,33.98,28.12
1041,1044168,34.47,24.22,28.12
1042,1045168,34.96,24.22,28.12
1043,1046168,25.20,24.22,37.89
1044,1047168,25.20,24.22,37.89
1045,1048168,25.20,24.22,37.89
1046,1049168,34.96,24.22,37.40
1047,1050168,34.47,24.22,28.12
1048,1051168,25.20,33.98,37.40
1049,1052168,25.20,23.73,37.40
1050,1053168,34.96,33.50,28.12
1051,1054168,25.20,33.98,28.12
1052,1055168,34.96,24.22,37.40
1053,1056168,25.20,34.47,37.89
1054,1057168,25.20,33.98,38.38
1055,1058168,34.96,34.47,28.12
1056,1059168,34.96,33.98,28.12
1057,1060168,34.96,24.22,37.89
1058,1061168,34.47,24.22,37.89
1059,1062168,25.20,33.98,37.40
1060,1063168,25.20,33.98,37.40
1061,1064168,25.20,23.73,37.40
1062,1065168,25.20,24.22,37.89
1063,1066168,34.96,24.22,37.40
1064,1067168,25.20,33.98,28.12
1065,1068168,25.20,33.98,37.89
1066,1069168,34.96,24.71,28.12
1067,1070168,34.96,33.98,28.61
1068,1071168,25.20,24.71,37.40
1069,1072168,24.71,33.98,28.61
1070,1073168,24.71,33.98,27.15
1071,1074168,34.96,24.71,28.12
1072,1075168,33.98,23.73,26.66
1073,1076168,25.20,24.22,37.89
1074,1077168,16.89,24.22,37.89
1075,1078168,25.20,33.98,28.61
1076,1079168,25.20,33.98,38.38
1077,1080168,25.20,33.98,37.40
1078,1081168,25.20,24.22,37.89
1079,1082168,24.71,23.73,35.94
1080,1083168,23.24,31.54,24.71
1081,1084168,23.24,32.03,24.71
1082,1085168,34.96,24.22,28.12
1083,1086168,34.96,24.71,28.61
1084,1087168,25.20,23.73,37.89
1085,1088168,34.96,34.47,28.61
1086,1089168,23.73,33.98,28.61
1087,1090168,34.96,24.71,38.38
1088,1091168,34.96,24.71,28.12
1089,1092168,25.20,33.98,37.89
1090,1093168,25.20,24.22,37.40
1091,1094168,34.47,34.47,28.61
1092,1095168,25.20,34.47,28.61
1093,1096168,34.96,34.47,28.61
1094,1097168,25.20,33.98,28.61
1095,1098168,25.20,34.47,37.89
1096,1099168,34.96,24.71,28.61
1097,1100168,34.96,34.96,28.61
1098,1101168,25.20,24.71,37.89
1099,1102168,35.94,24.71,38.38
1100,1103168,25.20,34.47,28.61
1101,1104168,34.96,24.71,28.12
1102,1105168,35.45,24.71,28.61
1103,1106168,25.68,25.20,38.38
1104,1107168,25.68,24.71,37.89
1105,1108168,25.68,34.47,28.61
1106,1109168,25.20,34.47,28.61
1107,1110168,35.45,24.71,28.61
1108,1111168,35.45,24.71,28.61
1109,1112168,33.50,23.24,27.15
1110,1113168,34.47,33.50,27.64
1111,1114168,25.20,33.98,27.64
1112,1115168,34.96,24.71,37.89
1113,1116168,34.96,25.20,29.10
1114,1117168,25.68,34.47,38.38
1115,1118168,25.68,25.20,38.87
1116,1119168,35.45,34.47,28.61
1117,1120168,35.45,24.71,37.89
1118,1121168,35.45,25.20,37.40
1119,1122168,25.68,34.96,37.89
1120,1123168,25.68,34.47,37.89
1121,1124168,34.96,34.96,28.61
1122,1125168,34.47,34.47,28.61
1123,1126168,34.96,25.20,38.38
1124,1127168,35.45,25.20,42.77
1125,1128168,35.45,25.20,28.61
1126,1129168,35.45,24.71,28.61
1127,1130168,35.45,34.96,28.61
1128,1131168,24.71,25.20,38.38
1129,1132168,35.45,25.20,38.38
1130,1133168,25.68,34.96,20.80
1131,1134168,25.68,34.47,38.87
1132,1135168,35.45,24.22,29.10
1133,1136168,25.68,25.20,38.38
1134,1137168,35.94,25.20,38.87
1135,1138168,25.68,34.96,29.10
1136,1139168,25.68,34.96,39.36
1137,1140168,35.45,25.20,29.10
1138,1141168,35.94,35.45,29.10
1139,1142168,25.68,25.20,38.38
1140,1143168,35.45,22.75,37.89
1141,1144168,35.45,23.73,38.38
1142,1145168,35.45,25.20,28.61
1143,1146168,35.45,25.20,29.10
1144,1147168,25.68,23.73,38.87
1145,1148168,25.68,25.20,38.87
1146,1149168,26.17,34.96,29.10
1147,1150168,25.68,34.96,29.10
1148,1151168,35.94,25.20,29.10
1149,1152168,25.68,34.96,38.87
1150,1153168,26.17,25.68,38.87
1151,1154168,35.45,34.96,29.10
1152,1155168,26.17,35.45,29.10
1153,1156168,35.94,25.20,38.38
1154,1157168,35.94,25.68,29.10
1155,1158168,26.17,34.96,38.87
1156,1159168,25.68,25.68,38.87
1157,1160168,26.17,25.68,38.87
1158,1161168,35.94,25.68,38.38
1159,1162168,35.94,25.68,38.38
1160,1163168,26.17,35.45,38.38
1161,1164168,25.68,35.45,38.38
1162,1165168,35.94,35.45,29.10
1163,1166168,35.45,35.45,29.10
1164,1167168,35.45,25.68,39.36
1165,1168168,26.17,35.45,29.10
1166,1169168,26.17,35.45,39.36
1167,1170168,35.94,25.68,29.10
1168,1171168,35.94,35.45,29.10
1169,1172168,25.68,24.22,38.38
1170,1173168,35.94,23.73,38.38
1171,1174168,26.17,34.96,28.12
1172,1175168,26.17,35.94,39.36
1173,1176168,26.17,36.43,39.84
1174,1177168,26.17,25.68,39.84
1175,1178168,18.36,25.68,40.33
1176,1179168,26.17,36.91,29.10
1177,1180168,26.17,36.43,21.29
1178,1181168,36.91,25.68,29.10
1179,1182168,36.43,17.38,29.10
1180,1183168,26.17,26.17,39.36
1181,1184168,25.68,35.94,29.10
1182,1185168,26.17,35.94,29.10
1183,1186168,36.43,25.68,28.61
1184,1187168,36.43,25.68,29.10
1185,1188168,26.17,23.73,39.36
1186,1189168,26.17,26.17,39.36
1187,1190168,25.68,35.94,29.59
1188,1191168,26.66,35.45,29.59
1189,1192168,26.66,35.45,29.59
1190,1193168,26.17,35.94,38.87
1191,1194168,26.17,25.20,38.38
1192,1195168,35.94,35.94,29.59
1193,1196168,25.68,35.94,29.59
1194,1197168,35.94,26.17,38.87
1195,1198168,36.43,26.17,29.59
1196,1199168,26.17,35.94,38.87
1197,1200168,36.43,36.91,29.59
1198,1201168,36.43,36.43,29.10
1199,1202168,36.43,25.68,38.87
1200,1203168,35.45,25.20,37.89
1201,1204168,26.17,35.45,38.38
1202,1205168,26.17,34.96,38.38
1203,1206168,36.43,36.43,28.61
1204,1207168,36.43,35.45,29.10
1205,1208168,32.52,35.45,29.10
1206,1209168,26.66,35.94,29.59
1207,1210168,26.66,35.45,38.87
1208,1211168,35.94,26.17,29.59
1209,1212168,36.43,35.94,29.59
1210,1213168,26.66,26.17,39.36
1211,1214168,36.91,26.17,39.84
1212,1215168,26.66,35.94,29.59
1213,1216168,36.43,26.17,29.59
1214,1217168,36.43,26.66,29.59
1215,1218168,26.66,26.66,39.36
1216,1219168,26.17,26.17,39.84
1217,1220168,26.66,36.43,29.59
1218,1221168,26.66,36.43,28.61
1219,1222168,36.43,26.66,29.59
1220,1223168,36.43,25.68,29.59
1221,1224168,36.43,36.43,29.59
1222,1225168,26.66,36.43,29.59
1223,1226168,27.15,36.43,29.59
1224,1227168,36.91,26.66,27.64
1225,1228168,36.91,26.66,29.59
1226,1229168,27.15,26.17,39.36
1227,1230168,27.15,26.66,39.36
1228,1231168,26.66,36.91,29.59
1229,1232168,36.91,26.17,38.87
1230,1233168,36.43,25.68,29.10
1231,1234168,26.66,35.45,38.87
1232,1235168,26.66,25.68,38.38
1233,1236168,36.91,36.91,29.59
1234,1237168,26.17,36.91,29.59
1235,1238168,36.91,26.66,39.36
1236,1239168,36.91,26.66,29.59
1237,1240168,36.91,26.66,29.59
1238,1241168,36.91,37.89,29.59
1239,1242168,36.43,36.43,29.59
1240,1243168,37.89,26.66,38.87
1241,1244168,36.91,26.66,39.84
1242,1245168,26.66,36.91,39.36
1243,1246168,27.15,36.43,38.87
1244,1247168,36.91,36.91,29.59
1245,1248168,26.66,26.66,39.84
1246,1249168,36.91,26.66,39.84
1247,1250168,27.15,36.43,29.59
1248,1251168,27.15,36.43,39.36
1249,1252168,37.40,26.66,29.59
1250,1253168,36.91,36.91,29.59
1251,1254168,27.15,26.66,39.84
1252,1255168,36.91,26.66,39.36
1253,1256168,37.40,26.66,39.36
1254,1257168,36.91,26.66,30.08
1255,1258168,36.91,26.66,29.59
1256,1259168,27.15,26.66,39.36
1257,1260168,27.15,26.66,39.84
1258,1261168,27.15,36.91,29.59
1259,1262168,27.15,35.94,29.59
1260,1263168,36.91,26.17,29.59
1261,1264168,27.15,42.77,39.36
1262,1265168,27.15,26.66,38.87
1263,1266168,26.66,36.91,29.59
1264,1267168,27.15,36.43,29.59
1265,1268168,37.40,26.66,29.10
1266,1269168,37.40,27.15,29.59
1267,1270168,27.15,26.17,39.36
1268,1271168,27.15,26.66,39.84
1269,1272168,27.15,27.15,39.84
1270,1273168,37.40,27.15,39.84
1271,1274168,37.40,26.66,27.64
1272,1275168,27.15,36.91,40.33
1273,1276168,27.15,26.66,39.84
1274,1277168,37.40,36.91,30.08
1275,1278168,27.15,36.91,30.08
1276,1279168,37.40,27.15,39.84
1277,1280168,27.15,36.91,39.84
1278,1281168,27.15,36.91,39.84
1279,1282168,37.40,37.89,29.59
1280,1283168,37.40,37.40,29.59
1281,1284168,38.38,27.15,39.36
1282,1285168,37.89,27.15,39.36
1283,1286168,27.64,37.40,40.82
1284,1287168,27.64,36.91,40.33
1285,1288168,27.64,36.91,39.84
1286,1289168,27.64,27.15,39.84
1287,1290168,37.40,27.15,39.84
1288,1291168,27.64,37.40,30.08
1289,1292168,27.15,36.43,29.59
1290,1293168,36.91,26.66,29.59
1291,1294168,36.91,36.43,29.59
1292,1295168,27.15,26.66,38.38
1293,1296168,27.64,36.91,30.08
1294,1297168,27.64,37.40,30.08
1295,1298168,37.40,27.15,30.08
1296,1299168,37.40,27.15,30.08
1297,1300168,27.64,27.15,40.33
1298,1301168,27.64,27.15,40.33
1299,1302168,27.64,37.40,30.08
1300,1303168,27.64,37.40,30.08
1301,1304168,27.64,37.40,40.33
1302,1305168,27.64,35.94,39.36
1303,1306168,27.64,27.15,39.36
1304,1307168,33.98,37.40,30.08
1305,1308168,27.64,37.40,30.08
1306,1309168,37.40,27.15,29.59
1307,1310168,37.40,27.64,30.08
1308,1311168,27.64,26.66,39.84
1309,1312168,37.40,36.91,29.59
1310,1313168,27.15,37.40,29.59
1311,1314168,37.89,27.15,39.36
1312,1315168,37.40,27.15,29.59
1313,1316168,27.64,37.40,40.33
1314,1317168,27.64,27.15,39.84
1315,1318168,37.40,37.89,29.59
1316,1319168,27.15,37.40,30.08
1317,1320168,26.66,37.40,29.59
1318,1321168,27.64,37.40,39.84
1319,1322168,27.15,35.94,38.38
1320,1323168,37.40,36.43,29.10
1321,1324168,37.40,35.94,29.59
1322,1325168,37.89,27.15,39.36
1323,1326168,37.40,27.64,39.84
1324,1327168,27.64,37.40,40.82
1325,1328168,37.40,27.64,30.08
1326,1329168,37.40,38.38,30.08
1327,1330168,27.64,27.64,39.84
1328,1331168,37.40,27.64,39.84
1329,1332168,27.64,37.89,30.08
1330,1333168,27.64,37.89,39.84
1331,1334168,37.89,27.64,30.08
1332,1335168,37.89,37.40,30.08
1333,1336168,37.89,37.89,30.08
1334,1337168,27.64,37.89,30.08
1335,1338168,27.64,37.89,30.08
1336,1339168,37.89,28.12,30.08
1337,1340168,37.89,28.12,30.08
1338,1341168,27.64,28.12,39.84
1339,1342168,28.12,28.12,39.84
1340,1343168,27.64,37.89,30.08
1341,1344168,37.89,28.12,40.33
1342,1345168,37.89,28.12,30.57
1343,1346168,28.12,37.89,39.84
1344,1347168,28.12,28.61,40.33
1345,1348168,36.91,38.38,30.08
1346,1349168,28.12,37.89,30.57
1347,1350168,37.89,28.61,39.36
1348,1351168,37.89,28.61,30.08
1349,1352168,37.40,28.12,29.59
1350,1353168,37.40,37.89,29.59
1351,1354168,40.33,37.89,29.59
1352,1355168,37.89,28.12,38.87
1353,1356168,37.89,28.61,30.08
1354,1357168,28.12,38.87,40.33
1355,1358168,28.12,28.61,40.82
1356,1359168,37.89,39.36,30.57
1357,1360168,38.87,29.10,39.84
1358,1361168,38.38,29.10,39.84
1359,1362168,28.12,38.87,41.31
1360,1363168,28.12,39.36,39.84
1361,1364168,37.40,40.33,30.57
1362,1365168,37.40,39.36,30.57
1363,1366168,39.36,29.59,40.33
1364,1367168,38.38,29.59,39.84
1365,1368168,37.89,29.59,40.33
1366,1369168,37.40,29.59,30.57
1367,1370168,36.91,39.84,30.57
1368,1371168,28.12,29.59,38.87
1369,1372168,37.89,29.59,39.84
1370,1373168,28.12,39.36,30.57
1371,1374168,27.64,39.36,39.36
1372,1375168,37.40,29.59,30.08
1373,1376168,27.64,29.10,39.36
1374,1377168,27.64,29.59,38.87
1375,1378168,27.64,39.36,30.08
1376,1379168,27.64,39.36,30.08
1377,1380168,36.91,29.59,29.59
1378,1381168,36.91,29.59,29.59
1379,1382168,26.17,25.68,36.91
1380,1383168,26.66,26.66,37.89
1381,1384168,26.66,27.15,37.40
1382,1385168,36.91,29.59,37.89
1383,1386168,36.91,30.08,29.59
1384,1387168,27.64,39.36,38.87
1385,1388168,27.15,30.08,38.87
1386,1389168,36.43,39.36,29.59
1387,1390168,27.15,39.36,29.59
1388,1391168,36.91,30.08,38.87
1389,1392168,27.15,39.36,39.36
1390,1393168,27.15,38.87,39.36
1391,1394168,36.91,39.36,29.59
1392,1395168,33.01,39.36,29.59
1393,1396168,36.91,30.08,38.87
1394,1397168,36.91,30.08,29.10
1395,1398168,27.15,39.36,39.36
1396,1399168,27.15,44.73,39.36
1397,1400168,27.15,30.08,38.87
1398,1401168,27.15,30.08,38.87
1399,1402168,36.91,30.08,38.38
1400,1403168,27.15,39.84,28.61
1401,1404168,27.15,39.84,39.36
1402,1405168,36.43,30.57,29.59
1403,1406168,36.43,39.84,29.59
1404,1407168,38.38,30.57,38.87
1405,1408168,27.15,40.33,30.08
1406,1409168,27.15,40.33,40.33
1407,1410168,36.91,30.57,30.08
1408,1411168,36.91,43.75,29.59
1409,1412168,26.66,30.08,36.91
1410,1413168,36.91,28.61,32.52
1411,1414168,25.68,37.89,22.27
1412,1415168,27.15,40.33,39.84
1413,1416168,27.64,40.33,39.84
1414,1417168,27.64,30.57,39.84
1415,1418168,27.64,31.05,39.36
1416,1419168,26.66,41.31,30.08
1417,1420168,27.64,41.31,30.08
1418,1421168,37.40,31.54,30.08
1419,1422168,36.91,31.54,30.08
1420,1423168,27.64,31.54,40.33
1421,1424168,36.91,41.80,30.08
1422,1425168,27.64,41.31,30.08
1423,1426168,37.89,31.54,39.36
1424,1427168,37.89,31.54,30.08
1425,1428168,27.64,41.31,40.33
1426,1429168,27.64,31.54,40.33
1427,1430168,37.40,42.29,30.08
1428,1431168,27.15,42.29,30.08
1429,1432168,27.15,42.29,30.08
1430,1433168,27.15,42.29,40.33
1431,1434168,27.64,42.77,40.82
1432,1435168,37.89,42.77,30.08
1433,1436168,37.40,43.26,30.08
1434,1437168,38.87,32.03,40.82
1435,1438168,38.38,32.52,40.82
1436,1439168,27.15,43.26,41.31
1437,1440168,38.87,32.52,30.57
1438,1441168,38.87,43.75,30.57
1439,1442168,27.15,31.05,40.82
1440,1443168,38.38,31.05,40.82
1441,1444168,27.15,42.77,29.10
1442,1445168,27.15,43.75,41.31
1443,1446168,39.36,32.52,30.57
1444,1447168,38.87,44.73,30.57
1445,1448168,38.87,44.73,30.57
1446,1449168,27.64,44.73,30.57
1447,1450168,27.64,44.24,24.22
1448,1451168,39.36,33.01,31.05
1449,1452168,39.36,46.68,31.05
1450,1453168,27.64,33.01,42.77
1451,1454168,40.82,33.01,42.77
1452,1455168,27.64,45.21,31.05
1453,1456168,39.84,33.01,30.57
1454,1457168,39.84,33.01,30.57
1455,1458168,27.64,31.54,43.26
1456,1459168,27.64,33.01,42.77
1457,1460168,25.68,45.70,31.05
1458,1461168,27.64,45.70,31.05
1459,1462168,40.33,33.50,30.57
1460,1463168,40.33,33.50,30.57
1461,1464168,39.84,33.50,31.05
1462,1465168,39.84,46.19,31.05
1463,1466168,27.64,46.19,31.05
1464,1467168,40.33,33.50,42.77
1465,1468168,39.84,33.50,31.05
1466,1469168,27.64,45.70,43.26
1467,1470168,27.64,33.50,43.26
1468,1471168,39.84,46.68,30.57
1469,1472168,40.33,32.52,41.80
1470,1473168,39.36,32.03,42.29
1471,1474168,27.15,44.24,42.29
1472,1475168,27.64,45.21,42.29
1473,1476168,39.84,46.19,31.05
1474,1477168,39.84,46.68,31.05
1475,1478168,40.33,33.98,42.77
1476,1479168,40.33,33.98,42.77
1477,1480168,40.33,33.98,29.59
1478,1481168,40.33,33.98,31.05
1479,1482168,39.84,46.68,31.05
1480,1483168,27.64,33.98,42.77
1481,1484168,40.33,34.47,42.77
1482,1485168,27.64,46.19,31.54
1483,1486168,27.64,45.70,43.26
1484,1487168,39.84,33.98,31.05
1485,1488168,27.64,34.47,43.26
1486,1489168,27.64,34.47,43.26
1487,1490168,27.64,46.19,31.05
1488,1491168,27.64,46.68,25.20
1489,1492168,39.84,34.47,31.54
1490,1493168,39.36,33.98,31.05
1491,1494168,27.64,34.47,43.75
1492,1495168,22.27,34.47,43.75
1493,1496168,39.84,34.47,43.26
1494,1497168,39.84,34.47,31.05
1495,1498168,39.84,34.96,31.54
1496,1499168,27.64,34.47,43.75
1497,1500168,27.64,34.96,43.75
1498,1501168,27.15,47.17,31.05
1499,1502168,27.64,44.73,31.05
1500,1503168,39.36,32.52,30.57
1501,1504168,27.15,44.24,43.26
1502,1505168,27.64,33.50,42.77
1503,1506168,39.36,47.17,31.54
1504,1507168,27.15,47.17,31.54
1505,1508168,40.33,34.96,43.26
1506,1509168,40.33,34.96,31.05
1507,1510168,27.64,46.68,43.75
1508,1511168,27.64,34.96,43.75
1509,1512168,28.12,34.96,43.75
1510,1513168,41.31,34.96,43.26
1511,1514168,40.33,34.96,42.77
1512,1515168,27.64,47.17,44.24
1513,1516168,28.12,46.68,43.75
1514,1517168,39.84,48.14,31.54
1515,1518168,39.84,47.66,32.03
1516,1519168,40.82,35.45,44.24
1517,1520168,28.12,47.66,32.03
1518,1521168,28.12,47.66,44.73
1519,1522168,40.33,35.45,32.03
1520,1523168,39.84,47.66,31.05
1521,1524168,28.12,35.45,44.24
1522,1525168,40.82,35.45,43.75
1523,1526168,28.12,48.14,32.03
1524,1527168,28.12,47.66,44.73
1525,1528168,28.12,47.17,44.24
1526,1529168,28.12,35.45,44.24
1527,1530168,28.12,35.45,44.24
1528,1531168,28.12,48.14,31.54
1529,1532168,28.12,48.14,32.03
1530,1533168,40.33,33.50,31.54
1531,1534168,40.33,33.50,31.54
1532,1535168,28.12,35.45,44.24
1533,1536168,28.12,48.63,32.03
1534,1537168,28.12,48.14,32.03
1535,1538168,41.31,35.94,31.54
1536,1539168,40.82,35.94,32.03
1537,1540168,28.12,48.14,44.24
1538,1541168,28.12,35.94,44.73
1539,1542168,28.12,48.63,32.03
1540,1543168,28.12,48.63,32.03
1541,1544168,28.12,48.63,32.03
1542,1545168,28.12,48.14,44.73
1543,1546168,28.12,35.45,44.73
1544,1547168,40.33,49.12,32.03
1545,1548168,28.12,49.12,32.03
1546,1549168,41.31,35.94,43.75
1547,1550168,41.31,35.94,32.03
1548,1551168,28.61,48.14,44.73
1549,1552168,40.82,51.07,32.03
1550,1553168,40.33,49.12,31.05
1551,1554168,42.77,35.94,44.24
1552,1555168,41.31,35.94,43.75
1553,1556168,28.61,49.12,46.19
1554,1557168,28.61,48.14,44.73
1555,1558168,40.82,51.07,32.03
1556,1559168,40.82,49.12,32.03
1557,1560168,28.12,49.61,32.03
1558,1561168,28.61,49.12,32.03
1559,1562168,28.12,47.17,45.21
1560,1563168,41.31,34.47,31.54
1561,1564168,40.82,47.17,31.54
1562,1565168,28.61,36.43,43.75
1563,1566168,41.80,36.43,43.75
1564,1567168,28.61,49.12,32.03
1565,1568168,41.31,36.43,32.03
1566,1569168,41.31,36.43,32.03
